









Frequency of observations in the selected location(s).:
Number of taxa: 	477

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Brazilian Teal	0.1456736	0.1944444	0.1723602	0.2142111	0.1761006	0.1641566	0.1532756	0.1970443	0.1944444	0.1898239	0.1944954	0.1615074	0.1763566	0.1626898	0.1369295	0.1243697	0.1473477	0.1660606	0.1707819	0.1797432	0.1903882	0.1958333	0.1954262	0.1954766	0.2324723	0.22	0.1850534	0.2369727	0.1921824	0.169687	0.2445255	0.2024887	0.2271973	0.1705007	0.1455331	0.1668405	0.1544118	0.1658631	0.1648461	0.1601594	0.1523626	0.1449893	0.1746204	0.1560226	0.1280846	0.1384804	0.1426768	0.1233141	
Silver Teal	0.3001095	0.3134921	0.3090062	0.3291536	0.2783019	0.2213855	0.2163164	0.2528736	0.2222222	0.2270059	0.2201835	0.2032301	0.1937984	0.1908894	0.1991701	0.1714286	0.1846758	0.1442424	0.1975309	0.2011412	0.2310536	0.2354167	0.2598753	0.3037157	0.3394834	0.3181818	0.2811388	0.3337469	0.2752443	0.2537068	0.3357664	0.3099548	0.3233831	0.2909337	0.2809798	0.282586	0.2953431	0.3105111	0.3217478	0.2924303	0.3278689	0.3006397	0.308026	0.2966855	0.2608696	0.2720588	0.2828283	0.261079	
Cinnamon Teal	0.0098576	0.0092593	0.0124224	0.0135841	0.009434	0.0180723	0.0123609	0.001642	0.0086806	0.0117417	0.0385321	0.0309556	0.0251938	0.0130152	0.0186722	0.005042	0.0078585	0.0181818	0.0226337	0.0156919	0.0221811	0.01875	0.012474	0.0177706	0.0166052	0.0072727	0.019573	0.0322581	0.0179153	0.0131796	0.0145985	0.0169683	0.0281924	0.0365359	0.0244957	0.0271116	0.0306373	0.0289296	0.0307845	0.0326693	0.0154291	0.0181237	0.0119306	0.0088925	0.0105758	0.0098039	0.0151515	0.0134875	
Red Shoveler	0.0449069	0.037037	0.0310559	0.0261233	0.0361635	0.0301205	0.0234858	0.0180624	0.0121528	0.0136986	0.0146789	0.0121131	0.0155039	0.0173536	0.0248963	0.0117647	0.0078585	0.0084848	0.0288066	0.0142653	0.0166359	0.0416667	0.010395	0.0323102	0.0405904	0.0327273	0.0427046	0.028536	0.0358306	0.0329489	0.0474453	0.0350679	0.0431177	0.037889	0.0317003	0.0542231	0.0514706	0.027001	0.0337637	0.0613546	0.045323	0.0298507	0.0422993	0.0388036	0.0493537	0.0502451	0.0328283	0.022158	
Chiloe Wigeon	0.0043812	0.0039683	0.0015528	0.0062696	0.0062893	0.003012	0.0222497	0.0131363	0.0190972	0.0156556	0.0036697	0.0026918	0.001938	0.0015	0.0020747	0.0033613	0.0	0.0012121	0.0	0.0	0.0036969	0.0041667	0.006237	0.0096931	0.0166052	0.0	0.0088968	0.0086849	0.0130293	0.0098847	0.0182482	0.0158371	0.0149254	0.0121786	0.0072046	0.0031283	0.002451	0.0019286	0.0029791	0.0047809	0.0135005	0.0138593	0.005423	0.0064673	0.0035253	0.002451	0.0012626	9.634E-4	
Mallard	0.0799562	0.0582011	0.0869565	0.0741902	0.1179245	0.0707831	0.0766378	0.0853859	0.0763889	0.1311155	0.0880734	0.0686406	0.1027132	0.0737527	0.1016598	0.1008403	0.0766208	0.0630303	0.0699588	0.0898716	0.0665434	0.0708333	0.0914761	0.0969305	0.095941	0.1145455	0.0747331	0.0967742	0.0863192	0.0873147	0.100365	0.0950226	0.1094527	0.0730717	0.0806916	0.0792492	0.0759804	0.0703954	0.0655412	0.0645418	0.0568949	0.0458422	0.0683297	0.0679062	0.0681551	0.0625	0.0429293	0.0606936	
Muscovy Duck x Mallard (hybrid)	0.0	0.0	0.0015528	0.0010449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.002079	0.0	0.0	0.0018182	0.0	0.0	0.0	0.0	0.0	0.0067873	0.0082919	0.0094723	0.0028818	0.0010428	0.0036765	0.0077146	0.0059583	0.0039841	0.0057859	0.0042644	0.0010846	8.084E-4	0.0035253	0.0073529	0.0037879	9.634E-4	
White-cheeked Pintail	0.0010953	0.0013228	0.0031056	0.0	0.0	0.001506	0.0012361	0.0015	0.0017361	0.0019569	0.0018349	0.0013459	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018484	0.0020833	0.0	0.0113086	0.0073801	0.0036364	0.0106762	0.0062035	0.0162866	0.0049423	0.0018248	0.0022624	0.0049751	0.0067659	0.0028818	0.0020855	0.002451	0.0019286	0.0019861	7.968E-4	0.0038573	0.0	0.0021692	0.0016168	0.0035253	0.0012255	0.0	0.0028902	
Yellow-billed Pintail	0.067908	0.0648148	0.0652174	0.0532915	0.0550314	0.0527108	0.039555	0.0180624	0.0329861	0.0430528	0.053211	0.039031	0.0387597	0.021692	0.0207469	0.0218487	0.0255403	0.0315152	0.0576132	0.0513552	0.0425139	0.0395833	0.047817	0.0597738	0.0461255	0.0690909	0.0711744	0.0645161	0.0765472	0.0609555	0.1021898	0.0769231	0.1094527	0.0920162	0.1051873	0.0771637	0.0747549	0.0694311	0.0774578	0.0956175	0.0867888	0.0852878	0.0759219	0.0703314	0.0634548	0.0833333	0.0618687	0.0433526	
Yellow-billed Teal	0.2694414	0.3055556	0.2795031	0.2570533	0.2358491	0.2063253	0.1866502	0.2003284	0.1927083	0.2348337	0.2183486	0.1843876	0.2422481	0.2017354	0.2282158	0.1647059	0.1925344	0.1818182	0.2427984	0.2068474	0.2107209	0.2541667	0.2765073	0.3069467	0.3708487	0.3872727	0.386121	0.442928	0.3941368	0.3772652	0.4434307	0.4332579	0.39801	0.3626522	0.4020173	0.3837331	0.3504902	0.364513	0.3862959	0.3641434	0.3780135	0.3507463	0.3590022	0.3290218	0.306698	0.3296569	0.2941919	0.2533719	
