









Frequency of observations in the selected location(s).:
Number of taxa: 	645

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Blue-winged x Cinnamon Teal (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.846E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Shoveler	0.0643491	0.0610169	0.0505529	0.0572881	0.0776256	0.0589539	0.0435668	0.0578609	0.0621728	0.0379747	0.0386543	0.0432671	0.056729	0.0340042	0.0344828	0.0374187	0.04	0.045861	0.0392422	0.0223237	0.0327869	0.0367751	0.0446623	0.0386836	0.0351124	0.0581778	0.0662002	0.0610068	0.0402068	0.0416157	0.0534609	0.0499562	0.0717065	0.0743719	0.0627895	0.0574577	0.0626495	0.0761275	0.0382948	0.057511	0.0480769	0.0557197	0.0458758	0.0510466	0.0451272	0.0520833	0.0593952	0.0590651	
Chiloe Wigeon	0.0454882	0.0271186	0.0294892	0.0359322	0.042618	0.0239362	0.0207655	0.030976	0.0340314	0.017988	0.0207588	0.016777	0.02414	0.0111034	0.0139257	0.0130152	0.0255	0.0233631	0.0169147	0.0091324	0.0198087	0.0275813	0.0250545	0.0213626	0.0273876	0.0367728	0.0322928	0.0337031	0.0333142	0.0324357	0.0472707	0.0552147	0.0611451	0.0638191	0.0638188	0.0676899	0.0769967	0.0890549	0.0700867	0.0719673	0.0607692	0.0633179	0.0695088	0.059126	0.0504081	0.0402462	0.0367171	0.039482	
Mallard	0.0033284	0.0014528	0.002633	0.0020339	0.0010147	0.0039894	0.0028502	0.0017534	0.0045812	0.0026649	0.0050107	0.0013245	0.001207	0.0020819	0.0013263	0.0027115	0.003	0.0025959	0.0027064	0.0035515	0.0034153	0.0028289	0.0043573	0.0034642	0.0014045	0.0032931	0.0048439	8.532E-4	0.0022975	6.12E-4	0.0011255	0.0021911	0.0038911	0.0020101	0.0020587	0.004329	0.0014347	0.0040218	0.0021676	0.0043997	0.0038462	0.003377	0.0050973	0.0022035	0.0043207	0.0033144	0.0048596	0.0037903	
Muscovy Duck x Mallard (hybrid)	3.698E-4	0.0	0.0	0.0	5.074E-4	0.0	4.072E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.025E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.801E-4	0.0	5.4E-4	0.0	
White-cheeked Pintail	0.0539941	0.0430993	0.0421274	0.0450847	0.049721	0.0443262	0.0232085	0.0344828	0.0287958	0.0153231	0.0293486	0.0260486	0.0247435	0.019431	0.0232095	0.016269	0.032	0.0256706	0.0128552	0.014206	0.0122951	0.0141443	0.0196078	0.0184758	0.0168539	0.0274424	0.0306781	0.028157	0.0218265	0.0232558	0.0287001	0.0245399	0.0589216	0.0628141	0.0571282	0.0590319	0.049737	0.0637748	0.0426301	0.0537398	0.0546154	0.056564	0.0569972	0.056188	0.0489678	0.0445076	0.0507559	0.0457991	
Yellow-billed Pintail	0.1113166	0.1007264	0.0816219	0.0901695	0.1055302	0.0828901	0.0651466	0.0917592	0.0818063	0.0519654	0.0680029	0.0675497	0.076041	0.0464955	0.0603448	0.0650759	0.09	0.0830689	0.0649526	0.0659564	0.0785519	0.0820368	0.0936819	0.0866051	0.0969101	0.1459934	0.1512379	0.1527304	0.1257898	0.1144431	0.1446258	0.1340929	0.1856587	0.1854271	0.1935152	0.1601732	0.1678623	0.1786843	0.1401734	0.1552483	0.1419231	0.1392993	0.1473587	0.1351451	0.118579	0.1174242	0.1090713	0.1238155	
White-cheeked x Yellow-billed Pintail (hybrid)	0.0	0.0	0.0	0.0	5.074E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-billed Teal	0.1531065	0.1331719	0.1095313	0.1305085	0.1496702	0.1090426	0.1026059	0.131502	0.132199	0.0872751	0.0894775	0.1072848	0.1188896	0.0798057	0.1213528	0.106833	0.143	0.1321027	0.1224628	0.1060375	0.1311475	0.1478076	0.1633987	0.1657044	0.1727528	0.2200878	0.2287406	0.2461604	0.2228604	0.2203182	0.2577378	0.2493427	0.2645914	0.260804	0.265054	0.2294372	0.2242946	0.2352772	0.2120665	0.2181018	0.1784615	0.1696919	0.2020389	0.1751744	0.1617859	0.1510417	0.1382289	0.1418193	
Yellow-billed Pintail/Yellow-billed Teal	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.415E-4	0.0	0.0	0.0	5.423E-4	0.0	2.884E-4	0.0	0.0	6.831E-4	0.0	0.0010893	5.774E-4	0.0	5.488E-4	0.0	0.0012799	0.0017231	0.001224	0.0016882	0.0021911	5.559E-4	0.001005	0.0	7.871E-4	0.0	5.745E-4	0.0	0.0	0.0	4.221E-4	0.0	0.0015	4.801E-4	0.0	0.0	0.0	
